time,blood_volume_L,extracellular_fluid_volume,mean_arterial_pressure_MAP,glomerular_pressure,GFR_ml_min,albumin_excretion_rate,plasma_renin_activity,dailyUGE,dailyNaExcretion,dailyWaterExcretion,i
Inf,-0.011267063,-0.12602994,-0.014325804,-0.012658753,-0.04672839,-0.407245342,0.001092931,Inf,Inf,Inf,0
Inf,-0.019353804,-0.14921637,-0.023260123,-0.023239743,-0.064059193,-0.243733713,0.000530461,Inf,Inf,Inf,0
Inf,-0.027254565,-0.167298455,-0.032138189,-0.031365213,-0.087029446,-0.359869586,0.001018163,Inf,Inf,Inf,0
Inf,0.02412965,-0.054423754,0.028737459,0.030269431,0.093175218,0,-0.01420238,Inf,Inf,Inf,0
Inf,-0.001007354,-0.108308903,-0.002208905,-0.001197722,-0.015431026,-0.051935178,0.000107093,Inf,Inf,Inf,0
Inf,-0.047840084,-0.188519242,-0.054334927,-0.054585588,-0.12160482,-0.274498816,0.001981685,Inf,Inf,Inf,0
Inf,-0.008098155,-0.130395492,-0.010635306,-0.010026392,-0.045068225,0,0.001299272,Inf,Inf,Inf,0
Inf,-0.110359882,-0.059141299,-0.130999096,-0.140770318,-0.371173802,-0.860231881,0.032612727,Inf,Inf,Inf,0
Inf,-0.108022967,-0.035895109,-0.124414634,-0.139839477,-0.317351799,-0.851120438,-0.10318351,Inf,Inf,Inf,0
Inf,0.014070779,-0.031342162,0.017914031,0.018652494,0.097384923,0,0.005317697,Inf,Inf,Inf,0
Inf,-0.070675094,-0.216127956,-0.081380554,-0.083989094,-0.188213534,-0.546082542,0.000808591,Inf,Inf,Inf,0
Inf,-0.026685541,-0.120824265,-0.034878558,-0.031796575,-0.137688918,-0.530517764,-0.003328111,Inf,Inf,Inf,0
Inf,-0.019021418,-0.178114949,-0.02381849,-0.023183268,-0.089896662,0,0.004168666,Inf,Inf,Inf,0
Inf,-0.047816835,-0.241745922,-0.057691712,-0.055256829,-0.172343177,-0.989245044,0.003141646,Inf,Inf,Inf,0
Inf,0.019412216,-0.065761085,0.022776098,0.024831888,0.078990323,0,-0.006648934,Inf,Inf,Inf,0
Inf,-0.110055445,-0.10600636,-0.128804487,-0.131499682,-0.344829274,-0.874472427,-0.199726625,Inf,Inf,Inf,0
Inf,-0.057566011,-0.216892058,-0.066477188,-0.070554112,-0.173326801,-0.566984315,0.001436822,Inf,Inf,Inf,0
Inf,-0.087750318,-0.082307977,-0.095789545,-0.094757257,-0.172055586,-0.236648136,0.00897673,Inf,Inf,Inf,0
Inf,-0.061638119,-0.185601265,-0.073557591,-0.075540533,-0.207160007,-0.818306122,0.001728398,Inf,Inf,Inf,0
Inf,0.006572221,-0.09948788,0.007091827,0.00951895,0.014846469,0,-0.001264152,Inf,Inf,Inf,0
Inf,-0.118652919,0.092829721,-0.140373036,-0.144655063,-0.377899661,-0.994293206,0.026124357,Inf,Inf,Inf,0
Inf,-0.051182392,-0.225297325,-0.059519991,-0.061468516,-0.157013602,-0.542118852,0.001061831,Inf,Inf,Inf,0
Inf,-0.034132924,-0.203888812,-0.04131023,-0.040042403,-0.130216359,-0.545543802,0.003005142,Inf,Inf,Inf,0
Inf,-0.036058368,-0.222089607,-0.042914459,-0.042681841,-0.126289139,-0.532801459,0.002162035,Inf,Inf,Inf,0
Inf,-0.062861067,-0.144704803,-0.079042162,-0.079839822,-0.259831411,-0.923170928,0.036173398,Inf,Inf,Inf,0
Inf,-0.038688184,-0.253092725,-0.045780369,-0.040467964,-0.136730573,-0.561272465,-0.106028604,Inf,Inf,Inf,0
Inf,-0.077648587,-0.091700366,-0.094879322,-0.100837456,-0.29065684,-0.690145352,0.022034795,Inf,Inf,Inf,0
Inf,-0.042794827,-0.262545292,-0.049093736,-0.046353238,-0.121265973,-0.393037153,-0.069203041,Inf,Inf,Inf,0
Inf,-0.031889291,-0.136648439,-0.042650114,-0.040835822,-0.1679668,-0.906630364,0.032865901,Inf,Inf,Inf,0
Inf,-0.048433996,-0.201335578,-0.054139417,-0.050758606,-0.106838748,-0.185694638,-0.050349842,Inf,Inf,Inf,0
Inf,0.005749935,-0.096544599,0.006273837,0.007970493,0.013530667,0,-0.002707867,Inf,Inf,Inf,0
Inf,-0.036370326,-0.205521046,-0.042970693,-0.041527057,-0.116939651,-0.512681674,0.001043964,Inf,Inf,Inf,0
Inf,0.00021163,-0.089230842,-0.000592931,0.000779379,-0.014649556,0,0.000397808,Inf,Inf,Inf,0
Inf,-0.056538363,-0.228077667,-0.065154226,-0.06746909,-0.156498305,-0.460209083,0.001489874,Inf,Inf,Inf,0
Inf,-0.096560725,-0.098119145,-0.102479218,-0.101020079,-0.169884599,-0.198674101,0.020093893,Inf,Inf,Inf,0
Inf,-0.004195303,-0.082758898,-0.006327838,-0.003824453,-0.034685358,0,0.003957246,Inf,Inf,Inf,0
Inf,-0.070147579,-0.129366319,-0.084431115,-0.084166722,-0.257426577,-0.992518787,-0.124095949,Inf,Inf,Inf,0
Inf,-0.063118233,-0.345529316,-0.073489667,-0.069602372,-0.197951846,-0.643913701,-0.17413814,Inf,Inf,Inf,0
Inf,-0.07993373,-0.165981809,-0.094912289,-0.099743233,-0.26717174,-0.786937449,-0.181553314,Inf,Inf,Inf,0
Inf,-0.066626951,-0.285224646,-0.078945404,-0.077121676,-0.226965719,-0.783574478,-0.166618978,Inf,Inf,Inf,0
Inf,-0.103160536,-0.084676678,-0.111561863,-0.108311746,-0.192444041,-0.257213672,-0.041805351,Inf,Inf,Inf,0
Inf,-0.087299385,-0.060418934,-0.103093658,-0.106705804,-0.261799237,-0.911208686,0.001468587,Inf,Inf,Inf,0
Inf,-0.030678872,-0.18253849,-0.036727495,-0.037831866,-0.111458908,-0.65633503,0.001123416,Inf,Inf,Inf,0
Inf,-0.090128793,-0.043094969,-0.106052571,-0.109882463,-0.263084234,-0.778011781,0.000934352,Inf,Inf,Inf,0
Inf,-0.044633642,-0.26175277,-0.054665466,-0.053159207,-0.173275891,-0.678588531,0.007605905,Inf,Inf,Inf,0
Inf,0.002203773,-0.06202142,0.002299138,0.003839604,0.006482661,0.052132548,0.015812301,Inf,Inf,Inf,0
Inf,-0.061369835,-0.226770667,-0.069866829,-0.072315563,-0.158729501,-0.395761538,0.001624363,Inf,Inf,Inf,0
Inf,-0.084824966,-0.158091032,-0.097130359,-0.100441028,-0.216034129,-0.591886512,0.000784449,Inf,Inf,Inf,0
Inf,-0.018793834,-0.156906741,-0.02296579,-0.023255566,-0.079712567,-0.68462746,0.00098092,Inf,Inf,Inf,0
Inf,-0.000278391,-0.110591232,-0.001260675,0.000597489,-0.011940037,0,6.86E-05,Inf,Inf,Inf,0
Inf,-0.036246236,-0.19283572,-0.042595623,-0.043954341,-0.127974681,-0.577597745,0.000914341,Inf,Inf,Inf,0
Inf,-0.085259684,-0.115645116,-0.101536178,-0.103557953,-0.260254047,-0.828459576,0.003384776,Inf,Inf,Inf,0
Inf,-0.115133722,-0.097398105,-0.134773911,-0.141808269,-0.359621166,-0.949563,-0.102133121,Inf,Inf,Inf,0
Inf,-0.023612993,-0.179042452,-0.028697921,-0.028379952,-0.088382325,-0.600276499,0.001141999,Inf,Inf,Inf,0
Inf,0.010194968,-0.092418132,0.011598177,0.012446066,0.02512722,2.874158221,-0.004580905,Inf,Inf,Inf,0
Inf,-0.008990835,-0.112585473,-0.012121622,-0.01133023,-0.05552332,0,0.007152662,Inf,Inf,Inf,0
Inf,-0.042763512,-0.139595224,-0.054157251,-0.051411472,-0.189375701,-0.499075509,-0.043576386,Inf,Inf,Inf,0
Inf,-0.094276554,-0.163987092,-0.105409116,-0.107617705,-0.215624591,-0.442566226,0.003019118,Inf,Inf,Inf,0
Inf,-0.045169417,-0.256381573,-0.054520649,-0.054655249,-0.16559396,-0.978873464,0.003730558,Inf,Inf,Inf,0
Inf,-0.032044689,-0.147878817,-0.036835321,-0.037774377,-0.094401492,-0.270565179,0.001620022,Inf,Inf,Inf,0
Inf,-0.090412999,-0.129406921,-0.108726553,-0.111805333,-0.315045155,-0.98948031,-0.169911504,Inf,Inf,Inf,0
Inf,-0.007309198,-0.046772418,-0.009109465,-0.009626021,-0.038043279,-0.113379849,0.002224437,Inf,Inf,Inf,0
Inf,-0.029220069,-0.150811875,-0.037147091,-0.034627926,-0.123523731,-0.964795168,0.012343428,Inf,Inf,Inf,0
Inf,-0.120984918,0.054470075,-0.14079579,-0.147020825,-0.3479906,-0.92744933,0.010923308,Inf,Inf,Inf,0
Inf,-0.074092691,-0.219443054,-0.087996782,-0.086867138,-0.235497098,-0.723199465,-0.123047917,Inf,Inf,Inf,0
Inf,-0.041028192,-0.15692742,-0.052330886,-0.050756752,-0.185523171,0,0.024910594,Inf,Inf,Inf,0
Inf,-0.10966351,-0.149372239,-0.119448674,-0.116795957,-0.209089745,-0.293300611,-0.06380941,Inf,Inf,Inf,0
Inf,-0.019848565,-0.073347683,-0.025695229,-0.023820069,-0.092046202,-0.282155982,0.00796998,Inf,Inf,Inf,0
Inf,-0.06128844,-0.176812828,-0.07521833,-0.075251798,-0.225741202,-0.766428579,0.012186136,Inf,Inf,Inf,0
Inf,0.006961816,-0.092708042,0.007784247,0.009667648,0.017591255,0,-0.004546671,Inf,Inf,Inf,0
Inf,-0.066363323,-0.247054607,-0.079967117,-0.077440047,-0.2306176,-0.880161562,-0.169683349,Inf,Inf,Inf,0
Inf,-0.054441733,-0.189385589,-0.068089254,-0.065932445,-0.225541843,-0.979147475,-0.068665518,Inf,Inf,Inf,0
Inf,-0.098114074,-0.128983256,-0.114925399,-0.124049386,-0.319665162,-0.996990529,-0.194834004,Inf,Inf,Inf,0
Inf,-0.053345511,-0.2594527,-0.065864398,-0.062652062,-0.20244655,-0.987398275,-0.0818685,Inf,Inf,Inf,0
Inf,-0.006388956,-0.109266982,-0.008853699,-0.007354133,-0.045481841,0,0.004625088,Inf,Inf,Inf,0
Inf,-0.059285112,-0.233706257,-0.069327304,-0.069836716,-0.167887694,-0.559584684,0.001713686,Inf,Inf,Inf,0
Inf,-0.074300938,-0.154013974,-0.083123687,-0.083055917,-0.171590727,-0.352515968,0.003554648,Inf,Inf,Inf,0
